case_id,timestamp,crime_type,location,ip_address,user_id,device_type,amount_lost,status
CC0001,2026-03-28 08:41:24,Identity Theft,Mumbai,192.168.44.120,U3992,Mobile,6324,Open
CC0002,2026-03-13 08:41:24,Identity Theft,Chandigarh,192.168.19.89,U6310,Mobile,40940,Under Investigation
CC0003,2026-03-07 08:41:24,Phishing,Bangalore,192.168.133.236,U4436,Mobile,47465,Closed
CC0004,2026-03-07 08:41:24,Identity Theft,Bangalore,192.168.36.157,U5688,Laptop,32529,Under Investigation
CC0005,2026-03-09 08:41:24,Identity Theft,Bangalore,192.168.166.163,U2326,Mobile,31716,Open
CC0006,2026-05-02 08:41:24,Phishing,Chandigarh,192.168.93.30,U5346,Desktop,14197,Closed
CC0007,2026-03-12 08:41:24,UPI Fraud,Chandigarh,192.168.88.178,U6071,Mobile,31659,Open
CC0008,2026-03-31 08:41:24,Identity Theft,Bangalore,192.168.174.210,U7357,Mobile,12683,Under Investigation
CC0009,2026-04-18 08:41:24,UPI Fraud,Delhi,192.168.230.121,U3122,Desktop,18059,Open
CC0010,2026-04-02 08:41:24,Identity Theft,Mumbai,192.168.194.220,U3716,Desktop,2293,Open
CC0011,2026-03-27 08:41:24,Identity Theft,Bangalore,192.168.186.195,U2057,Laptop,42399,Open
CC0012,2026-04-26 08:41:24,Identity Theft,Mumbai,192.168.26.93,U5299,Desktop,37826,Closed
CC0013,2026-03-22 08:41:24,Ransomware,Bangalore,192.168.219.113,U2097,Laptop,15420,Open
CC0014,2026-04-30 08:41:24,Ransomware,Delhi,192.168.170.30,U9102,Mobile,38281,Under Investigation
CC0015,2026-03-09 08:41:24,Identity Theft,Bangalore,192.168.139.219,U3605,Laptop,47221,Closed
CC0016,2026-04-17 08:41:24,UPI Fraud,Delhi,192.168.217.1,U7140,Desktop,15863,Under Investigation
CC0017,2026-03-11 08:41:24,Ransomware,Mumbai,192.168.145.99,U6186,Laptop,26439,Open
CC0018,2026-03-25 08:41:24,UPI Fraud,Chandigarh,192.168.176.73,U6754,Laptop,10256,Closed
CC0019,2026-03-18 08:41:24,Identity Theft,Chandigarh,192.168.72.246,U6311,Desktop,10118,Open
CC0020,2026-03-25 08:41:24,UPI Fraud,Mumbai,192.168.63.100,U2985,Laptop,19676,Under Investigation
CC0021,2026-03-11 08:41:24,Ransomware,Mumbai,192.168.68.126,U1763,Desktop,21490,Closed
CC0022,2026-03-10 08:41:24,Phishing,Chandigarh,192.168.186.45,U6863,Desktop,25072,Under Investigation
CC0023,2026-03-13 08:41:24,Ransomware,Chandigarh,192.168.187.106,U4177,Mobile,9730,Open
CC0024,2026-03-08 08:41:24,Ransomware,Chandigarh,192.168.108.54,U1623,Desktop,35133,Under Investigation
CC0025,2026-04-02 08:41:24,Ransomware,Mumbai,192.168.32.244,U8412,Laptop,31819,Closed
CC0026,2026-04-17 08:41:24,Identity Theft,Mumbai,192.168.21.53,U1794,Mobile,28960,Open
CC0027,2026-03-08 08:41:24,Identity Theft,Bangalore,192.168.172.135,U9487,Mobile,46390,Open
CC0028,2026-03-26 08:41:24,Identity Theft,Bangalore,192.168.38.208,U9970,Desktop,48792,Closed
CC0029,2026-03-30 08:41:24,Identity Theft,Delhi,192.168.46.220,U7014,Mobile,15182,Closed
CC0030,2026-04-24 08:41:24,Identity Theft,Bangalore,192.168.16.47,U6102,Laptop,27290,Open
CC0031,2026-04-19 08:41:24,Phishing,Chandigarh,192.168.140.53,U9120,Desktop,3034,Under Investigation
CC0032,2026-03-24 08:41:24,Ransomware,Chandigarh,192.168.56.226,U1531,Mobile,9335,Under Investigation
CC0033,2026-03-10 08:41:24,Identity Theft,Mumbai,192.168.202.201,U4549,Mobile,44371,Open
CC0034,2026-03-14 08:41:24,Ransomware,Delhi,192.168.244.91,U2799,Mobile,12434,Closed
CC0035,2026-03-10 08:41:24,Phishing,Chandigarh,192.168.102.226,U3324,Mobile,47431,Under Investigation
CC0036,2026-03-25 08:41:24,Identity Theft,Delhi,192.168.84.9,U8557,Mobile,8883,Open
CC0037,2026-04-28 08:41:24,Phishing,Mumbai,192.168.147.23,U3133,Desktop,13361,Open
CC0038,2026-04-08 08:41:24,Identity Theft,Chandigarh,192.168.7.77,U6608,Desktop,4217,Under Investigation
CC0039,2026-04-17 08:41:24,Ransomware,Chandigarh,192.168.48.181,U5143,Laptop,28252,Under Investigation
CC0040,2026-03-08 08:41:24,Identity Theft,Mumbai,192.168.123.206,U4719,Desktop,49843,Open
CC0041,2026-05-04 08:41:24,UPI Fraud,Mumbai,192.168.118.103,U1574,Desktop,4930,Closed
CC0042,2026-03-13 08:41:24,UPI Fraud,Chandigarh,192.168.39.132,U3366,Desktop,23866,Under Investigation
CC0043,2026-03-27 08:41:24,Phishing,Bangalore,192.168.241.131,U1636,Mobile,26804,Closed
CC0044,2026-04-29 08:41:24,UPI Fraud,Chandigarh,192.168.224.19,U6176,Desktop,1474,Under Investigation
CC0045,2026-03-09 08:41:24,UPI Fraud,Chandigarh,192.168.29.80,U3811,Laptop,47271,Open
CC0046,2026-04-16 08:41:24,Phishing,Mumbai,192.168.230.84,U2132,Mobile,37792,Closed
CC0047,2026-03-15 08:41:24,Ransomware,Bangalore,192.168.53.59,U8710,Mobile,11594,Closed
CC0048,2026-04-16 08:41:24,UPI Fraud,Mumbai,192.168.8.180,U8782,Desktop,12606,Closed
CC0049,2026-04-05 08:41:24,UPI Fraud,Mumbai,192.168.103.106,U7856,Laptop,29819,Open
CC0050,2026-05-01 08:41:24,Phishing,Chandigarh,192.168.205.121,U9755,Desktop,21294,Closed
CC0051,2026-04-14 08:41:24,Ransomware,Delhi,192.168.202.83,U2098,Desktop,19046,Closed
CC0052,2026-03-21 08:41:24,UPI Fraud,Mumbai,192.168.173.194,U4050,Mobile,31989,Open
