Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,Price
Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,128,Intel,Mac,11.17575455
Apple,Ultrabook,8,1.34,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac,10.77677732
HP,Notebook,8,1.86,0,0,141.2119981,Intel Core i5,0,256,Intel,Others,10.32993107
Apple,Ultrabook,16,1.83,0,1,220.5346239,Intel Core i7,0,512,AMD,Mac,11.81447594
Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,256,Intel,Mac,11.47310097
Acer,Notebook,4,2.1,0,0,100.4546699,AMD Processor,500,0,AMD,Windows,9.967025573
Apple,Ultrabook,16,2.04,0,1,220.5346239,Intel Core i7,0,0,Intel,Mac,11.64410812
Apple,Ultrabook,8,1.34,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac,11.03061499
Asus,Ultrabook,16,1.3,0,0,157.3505121,Intel Core i7,0,512,Nvidia,Windows,11.28544251
Acer,Ultrabook,8,1.6,0,1,157.3505121,Intel Core i5,0,256,Intel,Windows,10.62195154
HP,Notebook,4,1.86,0,0,100.4546699,Intel Core i5,500,0,Intel,Others,9.951658096
HP,Notebook,4,1.86,0,0,141.2119981,Intel Core i3,500,0,Intel,Others,9.819076457
Apple,Ultrabook,16,1.83,0,1,220.5346239,Intel Core i7,0,256,AMD,Mac,11.77530205
Dell,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,0,256,AMD,Windows,10.1879667
Apple,Ultrabook,8,0.92,0,1,226.4155472,Other Intel Processor,0,256,Intel,Mac,11.11633098
Apple,Ultrabook,8,1.37,0,1,226.9830047,Intel Core i5,0,256,Intel,Mac,11.30107224
Dell,Notebook,8,2.2,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows,10.58894524
Apple,Ultrabook,16,1.83,0,1,220.5346239,Intel Core i7,0,512,AMD,Mac,11.93343838
Lenovo,Notebook,8,2.2,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,Others,10.18816712
Dell,Ultrabook,8,1.22,1,1,165.6321181,Intel Core i5,0,128,Intel,Windows,10.86209267
Asus,Netbook,2,0.98,0,0,135.0942112,Other Intel Processor,0,0,Intel,Windows,9.232535429
Lenovo,Gaming,8,2.5,0,1,141.2119981,Intel Core i5,1000,128,Nvidia,Windows,10.8823158
HP,Notebook,4,1.86,0,0,100.4546699,AMD Processor,500,0,AMD,Others,9.528520611
Dell,2 in 1 Convertible,8,1.62,1,0,165.6321181,Intel Core i5,0,256,Intel,Windows,10.68364511
HP,Ultrabook,8,1.91,0,0,141.2119981,Intel Core i7,0,256,Intel,Windows,10.46628456
